,asr_transcript,uniqueId
71,Good deal decrease their she dingle ,2BqVo8kVB2Skwgyb-47564e30447d11e9a9a55dbec3b8816a
72,Life on ,2BqVo8kVB2Skwgyb-47f5ad60447b11e9a9a55dbec3b8816a
73,Said my device to a chinese ,2BqVo8kVB2Skwgyb-49095ff0447e11e9a9a55dbec3b8816a
74,While your man ,2BqVo8kVB2Skwgyb-49ac4190447c11e9a9a55dbec3b8816a
75,Good of the line ,2BqVo8kVB2Skwgyb-4a8299d0447b11e9a9a55dbec3b8816a
76,I need to hear the increase the lion ,2BqVo8kVB2Skwgyb-4b14b290447911e9a9a55dbec3b8816a
77,Gone the light all ,2BqVo8kVB2Skwgyb-4d3b0310447b11e9a9a55dbec3b8816a
78,All gay now assuaged their main langley stood jays ,2BqVo8kVB2Skwgyb-4e447c70447e11e9a9a55dbec3b8816a
79,Burn that them brave girl don't in the logs room ,2BqVo8kVB2Skwgyb-4e922410447a11e9a9a55dbec3b8816a
80,I could not hear anything done up the volume ,2BqVo8kVB2Skwgyb-4f754d90447911e9a9a55dbec3b8816a
81,Like all over ,2BqVo8kVB2Skwgyb-4f9e4770447b11e9a9a55dbec3b8816a
82,In glee the fallen volume ,2BqVo8kVB2Skwgyb-521df800447c11e9a9a55dbec3b8816a
83,Thorn bounder heat in the long bedroom ,2BqVo8kVB2Skwgyb-5287c840447a11e9a9a55dbec3b8816a
84,The radio fondue door law borne up the valiantly ,2BqVo8kVB2Skwgyb-54942f80447911e9a9a55dbec3b8816a
85,Don the lie loom up ,2BqVo8kVB2Skwgyb-576a20f0447b11e9a9a55dbec3b8816a
86,All gay no switched them main langley stood goody inn ,2BqVo8kVB2Skwgyb-587b6280447e11e9a9a55dbec3b8816a
87,Lowered at warned ,2BqVo8kVB2Skwgyb-592262d0447c11e9a9a55dbec3b8816a
88,There are no volume up ,2BqVo8kVB2Skwgyb-5bbda3f0447811e9a9a55dbec3b8816a
89,Vaguely their he'd been in the long had room ,2BqVo8kVB2Skwgyb-5d319460447a11e9a9a55dbec3b8816a
90,All gate now switched their main language to english ,2BqVo8kVB2Skwgyb-5d504320447e11e9a9a55dbec3b8816a
91,The old boy ,2BqVo8kVB2Skwgyb-5d9bdd00447c11e9a9a55dbec3b8816a
92,Bond that ancient embrasured bone ,2BqVo8kVB2Skwgyb-5e72bf90447d11e9a9a55dbec3b8816a
93,Dawn phone bone ,2BqVo8kVB2Skwgyb-5fa289d0447911e9a9a55dbec3b8816a
94,Said my informs languish stood chinese ,2BqVo8kVB2Skwgyb-61c30690447e11e9a9a55dbec3b8816a
95,Borne down the heap in the jan boom ,2BqVo8kVB2Skwgyb-62396480447d11e9a9a55dbec3b8816a
96,The greek art your volume ,2BqVo8kVB2Skwgyb-623cbcb0447911e9a9a55dbec3b8816a
97,Gone down the broad brimmed them fate than preacher ,2BqVo8kVB2Skwgyb-63cb7d90447a11e9a9a55dbec3b8816a
98,May the music folded burn ,2BqVo8kVB2Skwgyb-64278ad0447b11e9a9a55dbec3b8816a
99,Then known the allotted them dome ,2BqVo8kVB2Skwgyb-6436ad60447811e9a9a55dbec3b8816a
100,Thirtieth ordeal vyvyan ,2BqVo8kVB2Skwgyb-64d89d40447911e9a9a55dbec3b8816a
101,I need don't hear this increase the rye loom ,2BqVo8kVB2Skwgyb-68fceb30447c11e9a9a55dbec3b8816a
102,Glad burn ,2BqVo8kVB2Skwgyb-69445bd0447911e9a9a55dbec3b8816a
103,On other embraced her ,2BqVo8kVB2Skwgyb-6a1cd6f0447811e9a9a55dbec3b8816a
104,Gone down the heap in the bathroom ,2BqVo8kVB2Skwgyb-6a97c160447a11e9a9a55dbec3b8816a
105,Being theory that them bade during that it gently ,2BqVo8kVB2Skwgyb-6bc823b0447d11e9a9a55dbec3b8816a
106,While your milton ,2BqVo8kVB2Skwgyb-6bfc4fe0447911e9a9a55dbec3b8816a
107,Don the he'd known in the bathroom ,2BqVo8kVB2Skwgyb-6e121b10447a11e9a9a55dbec3b8816a
108,Lawyer the light of you ,2BqVo8kVB2Skwgyb-6ece82b0447911e9a9a55dbec3b8816a
109,Bouverie sir you've been dicky tenderly ,2BqVo8kVB2Skwgyb-6f621350447d11e9a9a55dbec3b8816a
110,And i heath ugh ,2BqVo8kVB2Skwgyb-7017e0b0447b11e9a9a55dbec3b8816a
111,Vaguely that them breathing the blood throne ,2BqVo8kVB2Skwgyb-71c5ad30447a11e9a9a55dbec3b8816a
112,The radio fondue door law burn up the right of young ,2BqVo8kVB2Skwgyb-71d02290447c11e9a9a55dbec3b8816a
113,Dawn the heap up ,2BqVo8kVB2Skwgyb-72160200447811e9a9a55dbec3b8816a
114,Thorn don't let them think during that bedroom ,2BqVo8kVB2Skwgyb-74153b20447d11e9a9a55dbec3b8816a
115,Don bone that them breaker ,2BqVo8kVB2Skwgyb-74d262e0447811e9a9a55dbec3b8816a
116,Vaguely their heaping the barbran ,2BqVo8kVB2Skwgyb-75407c10447a11e9a9a55dbec3b8816a
117,Vaguely solemn lowered ,2BqVo8kVB2Skwgyb-769cf440447911e9a9a55dbec3b8816a
118,Dawn that them preacher down ,2BqVo8kVB2Skwgyb-76ca0cd0447b11e9a9a55dbec3b8816a
119,Gone that bonebreaker bone ,2BqVo8kVB2Skwgyb-77cb5790447811e9a9a55dbec3b8816a
120,Bob that on the he'd bone ,2BqVo8kVB2Skwgyb-78265df0447a11e9a9a55dbec3b8816a
121,Dawn that them paid chain that bedroom bone ,2BqVo8kVB2Skwgyb-78803660447d11e9a9a55dbec3b8816a
122,Oh lord ,2BqVo8kVB2Skwgyb-78895af0447911e9a9a55dbec3b8816a
123,Gone fallen boundary ,2BqVo8kVB2Skwgyb-7953f690447c11e9a9a55dbec3b8816a
124,Bath music ,2BqVo8kVB2Skwgyb-7aa65210447a11e9a9a55dbec3b8816a
125,Gone bound the heat ,2BqVo8kVB2Skwgyb-7aab1ef0447811e9a9a55dbec3b8816a
126,That store lowered it ,2BqVo8kVB2Skwgyb-7ad87b10447911e9a9a55dbec3b8816a
127,Vaguely the ordeal valeyon ,2BqVo8kVB2Skwgyb-7c2035f0447c11e9a9a55dbec3b8816a
128,Baron de he'd done ,2BqVo8kVB2Skwgyb-7cfad3f0447b11e9a9a55dbec3b8816a
129,Back door lowered ,2BqVo8kVB2Skwgyb-7d5d7840447911e9a9a55dbec3b8816a
130,Gone there eden down ,2BqVo8kVB2Skwgyb-7d87b200447811e9a9a55dbec3b8816a
131,There on the bed don't keep down ,2BqVo8kVB2Skwgyb-7ebe1ce0447d11e9a9a55dbec3b8816a
132,Gulp ,2BqVo8kVB2Skwgyb-7ec688b0447a11e9a9a55dbec3b8816a
133,Radios audio volume ,2BqVo8kVB2Skwgyb-7ee96810447c11e9a9a55dbec3b8816a
134,I only thought back baith my gen'elmen switched the longways ,2BqVo8kVB2Skwgyb-7f9c2b60447e11e9a9a55dbec3b8816a
135,Dawn of the music ,2BqVo8kVB2Skwgyb-7fa2c270447b11e9a9a55dbec3b8816a
136,Thar on the music ,2BqVo8kVB2Skwgyb-8070ef40447811e9a9a55dbec3b8816a
137,Bedroom he bellowed ,2BqVo8kVB2Skwgyb-81759bc0447d11e9a9a55dbec3b8816a
138,Thorn and downhill ,2BqVo8kVB2Skwgyb-81d5b290447c11e9a9a55dbec3b8816a
139,Stop the music ,2BqVo8kVB2Skwgyb-81ea8f90447b11e9a9a55dbec3b8816a
140,Doth the neolithic ,2BqVo8kVB2Skwgyb-82e4fc80447811e9a9a55dbec3b8816a
141,Glad thah ,2BqVo8kVB2Skwgyb-843aa4a0447c11e9a9a55dbec3b8816a
142,The reason then bring turning their big bill ,2BqVo8kVB2Skwgyb-8518b320447d11e9a9a55dbec3b8816a
143,It store law thorny dung ,2BqVo8kVB2Skwgyb-8554a780447911e9a9a55dbec3b8816a
144,I only don't pantheists mayn't goody in since the valley ,2BqVo8kVB2Skwgyb-857a65b0447e11e9a9a55dbec3b8816a
145,On them elfie ,2BqVo8kVB2Skwgyb-867806f0447b11e9a9a55dbec3b8816a
146,But on the music ,2BqVo8kVB2Skwgyb-870ef720447811e9a9a55dbec3b8816a
147,Be green the heaping the bedroom ,2BqVo8kVB2Skwgyb-88a9c920447d11e9a9a55dbec3b8816a
148,Play the music ,2BqVo8kVB2Skwgyb-892a8420447811e9a9a55dbec3b8816a
149,It door low thorndale lighted him down ,2BqVo8kVB2Skwgyb-894c6e90447911e9a9a55dbec3b8816a
150,God the music ,2BqVo8kVB2Skwgyb-8a953050447b11e9a9a55dbec3b8816a
151,I ain't me don't black bass my english which their languish ,2BqVo8kVB2Skwgyb-8ad5db70447e11e9a9a55dbec3b8816a
152,Get me than you with paper ,2BqVo8kVB2Skwgyb-8b048960447a11e9a9a55dbec3b8816a
153,Thought the music ,2BqVo8kVB2Skwgyb-8b443c60447811e9a9a55dbec3b8816a
154,In green that them breaker ,2BqVo8kVB2Skwgyb-8c300680447911e9a9a55dbec3b8816a
155,While your meal ,2BqVo8kVB2Skwgyb-8c9eed90447c11e9a9a55dbec3b8816a
156,Borne on the lamb ,2BqVo8kVB2Skwgyb-8cfabea0447b11e9a9a55dbec3b8816a
157,Thorn on the lamp ,2BqVo8kVB2Skwgyb-8ddd36c0447811e9a9a55dbec3b8816a
158,Bring than you of the paper ,2BqVo8kVB2Skwgyb-8e8599d0447a11e9a9a55dbec3b8816a
159,In cleave the he'd bingley ,2BqVo8kVB2Skwgyb-8f0c4b70447911e9a9a55dbec3b8816a
160,But if on the lamb ,2BqVo8kVB2Skwgyb-907594e0447811e9a9a55dbec3b8816a
161,Lawyer the volume ,2BqVo8kVB2Skwgyb-907d1220447c11e9a9a55dbec3b8816a
162,Volume lawyer ,2BqVo8kVB2Skwgyb-934e5a90447c11e9a9a55dbec3b8816a
163,Lamp on ,2BqVo8kVB2Skwgyb-9456bf50447b11e9a9a55dbec3b8816a
164,Lamp on ,2BqVo8kVB2Skwgyb-95528bd0447811e9a9a55dbec3b8816a
165,Gourville in greaser heaping please ,2BqVo8kVB2Skwgyb-96357c50447911e9a9a55dbec3b8816a
166,Read the newspaper ,2BqVo8kVB2Skwgyb-96d71e10447a11e9a9a55dbec3b8816a
167,Then all the lamb ,2BqVo8kVB2Skwgyb-97474f90447b11e9a9a55dbec3b8816a
168,Gone off with a lamb ,2BqVo8kVB2Skwgyb-97bc86f0447811e9a9a55dbec3b8816a
169,Mac clarke bird ,2BqVo8kVB2Skwgyb-98c88340447911e9a9a55dbec3b8816a
170,Vaguely fond lovers ,2BqVo8kVB2Skwgyb-995b4600447c11e9a9a55dbec3b8816a
171,What dong dong de sheet in de la strong ,2BqVo8kVB2Skwgyb-99b72c30447d11e9a9a55dbec3b8816a
172,There on the lamp all her ,2BqVo8kVB2Skwgyb-99f642f0447b11e9a9a55dbec3b8816a
173,Gone the lamp alban ,2BqVo8kVB2Skwgyb-9a76ec00447811e9a9a55dbec3b8816a
174,More heat ,2BqVo8kVB2Skwgyb-9ae5e500447911e9a9a55dbec3b8816a
175,He'd up ,2BqVo8kVB2Skwgyb-9da79d10447911e9a9a55dbec3b8816a
176,Poor lowered ,2BqVo8kVB2Skwgyb-9e5f9b10447c11e9a9a55dbec3b8816a
177,Bring some you ,2BqVo8kVB2Skwgyb-9e9059f0447a11e9a9a55dbec3b8816a
178,Lamp all ,2BqVo8kVB2Skwgyb-9f2de460447811e9a9a55dbec3b8816a
179,Dan de she'd down in the rostrum ,2BqVo8kVB2Skwgyb-9f90d2a0447d11e9a9a55dbec3b8816a
180,That do lowered ,2BqVo8kVB2Skwgyb-a0d04cf0447c11e9a9a55dbec3b8816a
181,I do lord ,2BqVo8kVB2Skwgyb-a3877db0447c11e9a9a55dbec3b8816a
182,Borne on the thin life ,2BqVo8kVB2Skwgyb-a4dbdf90447b11e9a9a55dbec3b8816a
183,Borne on the gethryn light ,2BqVo8kVB2Skwgyb-a50986a0447811e9a9a55dbec3b8816a
184,Be gaze they she dean the rostrum ,2BqVo8kVB2Skwgyb-a752c110447d11e9a9a55dbec3b8816a
185,The charm that you can light ,2BqVo8kVB2Skwgyb-a7cdf670447b11e9a9a55dbec3b8816a
186,On the gibson light ,2BqVo8kVB2Skwgyb-a7f64650447811e9a9a55dbec3b8816a
187,It door lower thorny bound bull ,2BqVo8kVB2Skwgyb-a9a5f550447c11e9a9a55dbec3b8816a
188,Then that you can than braid stood up ,2BqVo8kVB2Skwgyb-a9b9d2d0447911e9a9a55dbec3b8816a
189,We'll ostrom he'd known him ,2BqVo8kVB2Skwgyb-aa319e10447d11e9a9a55dbec3b8816a
190,The on their light on in the kitchen ,2BqVo8kVB2Skwgyb-ab6380a0447811e9a9a55dbec3b8816a
191,Burn their light owning that you can ,2BqVo8kVB2Skwgyb-ab7b6e10447b11e9a9a55dbec3b8816a
192,Bring forth ,2BqVo8kVB2Skwgyb-ac4fca80447a11e9a9a55dbec3b8816a
193,In glee that embittering the kitchen ,2BqVo8kVB2Skwgyb-ad5b6390447911e9a9a55dbec3b8816a
194,Don daunder bawd dum dum broncho ,2BqVo8kVB2Skwgyb-ad9896d0447d11e9a9a55dbec3b8816a
195,It's gulo burn down the allotted him down ,2BqVo8kVB2Skwgyb-ae1c8950447c11e9a9a55dbec3b8816a
196,On their life in the kitchen ,2BqVo8kVB2Skwgyb-ae75f0c0447811e9a9a55dbec3b8816a
197,But it's the on their light in the kitchen ,2BqVo8kVB2Skwgyb-af0000f0447b11e9a9a55dbec3b8816a
198,In breather heaping in nicky thin ,2BqVo8kVB2Skwgyb-b0acff90447911e9a9a55dbec3b8816a
199,Later on in the captain ,2BqVo8kVB2Skwgyb-b134c2a0447811e9a9a55dbec3b8816a
200,Don dictum preacher donning the bathrooms ,2BqVo8kVB2Skwgyb-b17c39a0447d11e9a9a55dbec3b8816a
201,Go get mimi thorpe ,2BqVo8kVB2Skwgyb-b1dcd790447a11e9a9a55dbec3b8816a
202,In gray that them baker ,2BqVo8kVB2Skwgyb-b3117510447c11e9a9a55dbec3b8816a
203,You can light on ,2BqVo8kVB2Skwgyb-b3bc30d0447811e9a9a55dbec3b8816a
204,You can light on ,2BqVo8kVB2Skwgyb-b46fc200447b11e9a9a55dbec3b8816a
205,Read to me thought ,2BqVo8kVB2Skwgyb-b47c1380447a11e9a9a55dbec3b8816a
206,Don don the sheet in the bottom ,2BqVo8kVB2Skwgyb-b4ff9400447d11e9a9a55dbec3b8816a
207,Born of the he'd be in the kitten ,2BqVo8kVB2Skwgyb-b54aa390447911e9a9a55dbec3b8816a
208,In green they he'd been ,2BqVo8kVB2Skwgyb-b63bb2f0447c11e9a9a55dbec3b8816a
209,That the pin life on ,2BqVo8kVB2Skwgyb-b705dd90447811e9a9a55dbec3b8816a
210,Fifth thicket sunlight on ,2BqVo8kVB2Skwgyb-b7ae2420447b11e9a9a55dbec3b8816a
211,Don does she don't in the bathrooms ,2BqVo8kVB2Skwgyb-b8e113f0447d11e9a9a55dbec3b8816a
212,Her dear in greens or he'd bingle ,2BqVo8kVB2Skwgyb-b9a1e860447c11e9a9a55dbec3b8816a
213,Dawn that you can light on ,2BqVo8kVB2Skwgyb-ba56dd50447811e9a9a55dbec3b8816a
214,Dawn that the pen life on ,2BqVo8kVB2Skwgyb-bac994f0447b11e9a9a55dbec3b8816a
215,The gleeson debris chained of bonthron ,2BqVo8kVB2Skwgyb-bcc0bf20447d11e9a9a55dbec3b8816a
216,Good beer in greeting the he'd bingley ,2BqVo8kVB2Skwgyb-bd917210447c11e9a9a55dbec3b8816a
217,Drawn on their light in the bedroom ,2BqVo8kVB2Skwgyb-bdb76d70447811e9a9a55dbec3b8816a
218,None of that them breathing the bedroom ,2BqVo8kVB2Skwgyb-bf3e8d30447911e9a9a55dbec3b8816a
219,The gazer she digging the bathroom ,2BqVo8kVB2Skwgyb-c029dac0447d11e9a9a55dbec3b8816a
220,Matthew to partner ,2BqVo8kVB2Skwgyb-c0317150447c11e9a9a55dbec3b8816a
221,Bathroom she'd done ,2BqVo8kVB2Skwgyb-c3002c40447d11e9a9a55dbec3b8816a
222,There on that them breaker in the bedroom a humph ,2BqVo8kVB2Skwgyb-c35267c0447911e9a9a55dbec3b8816a
223,Rich on their light in the bedroom ,2BqVo8kVB2Skwgyb-c406e020447811e9a9a55dbec3b8816a
224,Heaped up ,2BqVo8kVB2Skwgyb-c4808020447c11e9a9a55dbec3b8816a
225,False musick ,2BqVo8kVB2Skwgyb-c5519650447d11e9a9a55dbec3b8816a
226,Gone on their lights in the bedroom ,2BqVo8kVB2Skwgyb-c60bd080447b11e9a9a55dbec3b8816a
227,Born of the bedroom heap ,2BqVo8kVB2Skwgyb-c6a16bb0447911e9a9a55dbec3b8816a
228,Then i bent them breathing the thin ,2BqVo8kVB2Skwgyb-c82b5fb0447c11e9a9a55dbec3b8816a
229,Don't blame you seek ,2BqVo8kVB2Skwgyb-cb6c1650447d11e9a9a55dbec3b8816a
230,Thunder eaten bembridge put up ,2BqVo8kVB2Skwgyb-cbb9dda0447c11e9a9a55dbec3b8816a
231,Bert generally heaped up ,2BqVo8kVB2Skwgyb-ccf5c060447911e9a9a55dbec3b8816a
232,But if the langley ,2BqVo8kVB2Skwgyb-ce762960447a11e9a9a55dbec3b8816a
233,Angry that them breathing that git chin ,2BqVo8kVB2Skwgyb-cfd27320447c11e9a9a55dbec3b8816a
234,Borne on the rocks room light ,2BqVo8kVB2Skwgyb-d00084d0447811e9a9a55dbec3b8816a
235,In gazed at them breaker in the bedroom ,2BqVo8kVB2Skwgyb-d06da910447911e9a9a55dbec3b8816a
236,Gone the law throws light on ,2BqVo8kVB2Skwgyb-d3421b40447811e9a9a55dbec3b8816a
237,In grave they he'd being in the bedroom ,2BqVo8kVB2Skwgyb-d3d2f420447911e9a9a55dbec3b8816a
238,In grieve the heaping thicket thin ,2BqVo8kVB2Skwgyb-d3dcd7d0447c11e9a9a55dbec3b8816a
239,Life the orning that bedroom ,2BqVo8kVB2Skwgyb-d446b2a0447b11e9a9a55dbec3b8816a
240,Bring the newspaper ,2BqVo8kVB2Skwgyb-d5d222b0447d11e9a9a55dbec3b8816a
241,Fane who thumb langley ,2BqVo8kVB2Skwgyb-d6207120447a11e9a9a55dbec3b8816a
242,Lived on the wall from light ,2BqVo8kVB2Skwgyb-d651cc40447811e9a9a55dbec3b8816a
243,Born of the launch trimmed them preacher ,2BqVo8kVB2Skwgyb-d6f17230447911e9a9a55dbec3b8816a
244,Bernard de he'd been that the chin ,2BqVo8kVB2Skwgyb-d7285950447c11e9a9a55dbec3b8816a
245,Being newspaper ,2BqVo8kVB2Skwgyb-d82d02a0447d11e9a9a55dbec3b8816a
246,Open langridge tipping ,2BqVo8kVB2Skwgyb-d8f785f0447a11e9a9a55dbec3b8816a
247,Life awning the rostrum ,2BqVo8kVB2Skwgyb-d91d4850447811e9a9a55dbec3b8816a
248,Founder heat i've been that you can ,2BqVo8kVB2Skwgyb-da5afba0447c11e9a9a55dbec3b8816a
249,That the langley ,2BqVo8kVB2Skwgyb-db510650447a11e9a9a55dbec3b8816a
250,Washroom light on ,2BqVo8kVB2Skwgyb-dbc006b0447811e9a9a55dbec3b8816a
251,You've plenty heap up ,2BqVo8kVB2Skwgyb-dcd87ec0447c11e9a9a55dbec3b8816a
252,Langridge sipping ,2BqVo8kVB2Skwgyb-dddfc780447a11e9a9a55dbec3b8816a
253,Dawn on the bought them lane ,2BqVo8kVB2Skwgyb-dead3b90447811e9a9a55dbec3b8816a
254,Dawn of dead them bray chained up but dome ,2BqVo8kVB2Skwgyb-e0eb9600447c11e9a9a55dbec3b8816a
255,That langley too plain ,2BqVo8kVB2Skwgyb-e0ec9250447a11e9a9a55dbec3b8816a
256,Burn the bought them life on ,2BqVo8kVB2Skwgyb-e1c74cd0447811e9a9a55dbec3b8816a
257,Born on their washroom lengths ,2BqVo8kVB2Skwgyb-e413f490447b11e9a9a55dbec3b8816a
258,Lord durham heat up ,2BqVo8kVB2Skwgyb-e46de650447911e9a9a55dbec3b8816a
259,And it on the bought them light ,2BqVo8kVB2Skwgyb-e497d1f0447811e9a9a55dbec3b8816a
260,Dawn that them bray jane their bedroom up ,2BqVo8kVB2Skwgyb-e4e2e7e0447c11e9a9a55dbec3b8816a
261,Spring some jewels ,2BqVo8kVB2Skwgyb-e4e9d040447d11e9a9a55dbec3b8816a
